troncon_id,cat
117,1
59,1
108,2
83,1
23,0
24,0
90,1
122,1
34,1
94,0
48,1
26,0
13,0
104,0
29,1
37,2
41,2
42,2
47,2
49,2
65,1
28,0
84,1
75,0
101,2
39,1
30,0
74,0
3,0
96,1
72,1
1,2
62,1
53,1
52,2
61,2
40,2
14,0
2,0
25,1
20,0
57,2
45,2
22,2
36,2
35,1
9,0
31,1
15,0
