"tr_glob","date","tr","sens","km","speed","method","tr_id","hm1","hm2","min","cat"
"T25",2025-07-22,"T25_E","E",1,60,"G","20250722_T25_E_G",2025-07-22 06:33:00,2025-07-22 06:34:00,1,1
"T25",2025-06-02,"T25_E","E",1,60,"G","20250602_T25_E_G",2025-06-02 06:05:00,2025-06-02 06:06:00,1,1
"T25",2025-06-02,"T25_E","E",1,1.3,"P","20250602_T25_E_P",2025-06-02 07:53:00,2025-06-02 08:40:00,47,1
"T25",2025-06-02,"T25_O","O",1,60,"G","20250602_T25_O_G",2025-06-02 06:17:00,2025-06-02 06:18:00,1,1
"T26",2025-06-02,"T26_O","O",1,2,"P","20250602_T26_O_P",2025-06-02 06:30:00,2025-06-02 07:00:00,30,0
"T26",2025-06-02,"T26_O","O",1,60,"G","20250602_T26_O_G",2025-06-02 05:48:00,2025-06-02 05:49:00,1,0
"T26",2025-07-17,"T26_O","O",1,60,"G","20250717_T26_O_G",2025-07-17 08:10:00,2025-07-17 08:11:00,1,0
"T26",2025-07-17,"T26_E","E",1,60,"G","20250717_T26_E_G",2025-07-17 08:05:00,2025-07-17 08:06:00,1,0
"T26",2025-07-17,"T26_O","O",1,1.1,"P","20250717_T26_O_P",2025-07-17 06:30:00,2025-07-17 07:20:00,50,0
"T26",2025-06-02,"T26_E","E",1,60,"G","20250602_T26_E_G",2025-06-02 05:30:00,2025-06-02 05:31:00,1,0
"T28",2025-08-05,"T28","N",1,60,"G","20250805_T28_G",2025-08-05 07:05:00,2025-08-05 07:06:00,1,0
"T28",2025-06-09,"T28","S",1,60,"G","20250609_T28_G",2025-06-09 06:08:00,2025-06-09 06:09:00,1,0
"T28",2025-06-09,"T28","N",1,60,"G","20250609_T28_G",2025-06-09 06:10:00,2025-06-09 06:11:00,1,0
"T28",2025-06-09,"T28","S",1,1.3,"P","20250609_T28_P",2025-06-09 06:35:00,2025-06-09 07:18:00,43,0
"T28",2025-08-05,"T28",NA,0.5,7.2,"D","20250805_T28_D",2025-08-05 06:40:00,2025-08-05 06:48:00,8,0
"T28",2025-08-05,"T28","S",1,60,"G","20250805_T28_G",2025-08-05 07:02:00,2025-08-05 07:03:00,1,0
"T30",2025-08-11,"T30_S","S",1,0.9,"P","20250811_T30_S_P",2025-08-11 07:59:00,2025-08-11 09:07:00,68,0
"T30",2025-08-11,"T30_S","S",1,75,"G","20250811_T30_S_G",2025-08-11 09:26:00,2025-08-11 09:27:00,1,0
"T30",2025-07-08,"T30_S","S",1,60,"G","20250708_T30_S_G",2025-07-08 07:13:00,2025-07-08 07:14:00,1,0
"T30",2025-07-08,"T30_N","N",1,60,"G","20250708_T30_N_G",2025-07-08 07:24:00,2025-07-08 07:25:00,1,0
"T30",2025-08-11,"T30_N","N",1,75,"G","20250811_T30_N_G",2025-08-11 09:22:00,2025-08-11 09:23:00,1,0
"T30",2025-07-08,"T30_S",NA,0.5,7.2,"D","20250708_T30_S_D",2025-07-08 07:44:00,2025-07-08 07:49:00,5,0
"T31",2025-08-11,"T31_E","E",1,70,"G","20250811_T31_E_G",2025-08-11 07:50:00,2025-08-11 07:51:00,1,1
"T31",2025-08-11,"T31_E","E",1,1,"P","20250811_T31_E_P",2025-08-11 06:35:00,2025-08-11 07:37:00,62,1
"T31",2025-07-08,"T31_E",NA,0.5,7.2,"D","20250708_T31_E_D",2025-07-08 08:42:00,2025-07-08 08:46:00,4,1
"T31",2025-07-08,"T31_O","O",1,60,"G","20250708_T31_O_G",2025-07-08 08:08:00,2025-07-08 08:09:00,1,1
"T31",2025-07-08,"T31_E","E",1,60,"G","20250708_T31_E_G",2025-07-08 08:11:00,2025-07-08 08:12:00,1,1
"T31",2025-08-11,"T31_O","O",1,60,"G","20250811_T31_O_G",2025-08-11 07:47:00,2025-08-11 07:48:00,1,1
"T35",2025-06-25,"T35","O",1,60,"G","20250625_T35_G",2025-06-25 07:24:00,2025-06-25 07:25:00,1,1
"T35",2025-07-30,"T35","O",1,60,"G","20250730_T35_G",2025-07-30 06:51:00,2025-07-30 06:52:00,1,1
"T35",2025-06-25,"T35","E",1,60,"G","20250625_T35_G",2025-06-25 07:20:00,2025-06-25 07:21:00,1,1
"T35",2025-07-30,"T35","O",2,1,"P","20250730_T35_P",2025-07-30 06:58:00,2025-07-30 08:50:00,112,1
"T35",2025-06-25,"T35",NA,0.5,7.2,"D","20250625_T35_D",2025-06-25 07:33:00,2025-06-25 08:00:00,27,1
"T35",2025-07-30,"T35","E",1,60,"G","20250730_T35_G",2025-07-30 06:55:00,2025-07-30 06:56:00,1,1
"T36",2025-06-25,"T36","O",1,60,"G","20250625_T36_G",2025-06-25 06:21:00,2025-06-25 06:22:00,1,2
"T36",2025-06-25,"T36",NA,0.5,7.2,"D","20250625_T36_D",2025-06-25 06:30:00,2025-06-25 06:59:00,29,2
"T36",2025-06-25,"T36","E",1,60,"G","20250625_T36_G",2025-06-25 06:18:00,2025-06-25 06:19:00,1,2
"T36",2025-07-30,"T36","O",1,60,"G","20250730_T36_G",2025-07-30 05:22:00,2025-07-30 05:23:00,1,2
"T36",2025-07-30,"T36","E",1,60,"G","20250730_T36_G",2025-07-30 05:25:00,2025-07-30 05:26:00,1,2
"T36",2025-07-30,"T36","O",2,1,"P","20250730_T36_P",2025-07-30 05:28:00,2025-07-30 06:30:00,62,2
"T39",2025-06-03,"T39_O",NA,0.5,7.2,"D","20250603_T39_O_D",2025-06-03 08:07:00,2025-06-03 08:11:00,4,1
"T39",2025-06-03,"T39_O","O",1,60,"G","20250603_T39_O_G",2025-06-03 07:44:00,2025-06-03 07:45:00,1,1
"T39",2025-07-21,"T39_O","O",1,60,"G","20250721_T39_O_G",2025-07-21 07:06:00,2025-07-21 07:07:00,1,1
"T39",2025-06-03,"T39_E","E",1,60,"G","20250603_T39_E_G",2025-06-03 07:42:00,2025-06-03 07:43:00,1,1
"T39",2025-07-21,"T39_E","E",1,60,"G","20250721_T39_E_G",2025-07-21 07:04:00,2025-07-21 07:05:00,1,1
"T39",2025-07-21,"T39_O","E",1,1.1,"P","20250721_T39_O_P",2025-07-21 06:04:00,2025-07-21 06:59:00,55,1
"T40",2025-07-15,"T40_E",NA,0.5,7.2,"D","20250715_T40_E_D",2025-07-15 07:22:00,2025-07-15 07:26:00,4,2
"T40",2025-07-28,"T40_O","O",1,60,"G","20250728_T40_O_G",2025-07-28 06:22:00,2025-07-28 06:23:00,1,2
"T40",2025-07-28,"T40_E","E",1,60,"G","20250728_T40_E_G",2025-07-28 06:27:00,2025-07-28 06:28:00,1,2
"T40",2025-07-15,"T40_E","E",1,60,"G","20250715_T40_E_G",2025-07-15 05:32:00,2025-07-15 05:33:00,1,2
