"tr","cat","type","date1","heure1","date2","heure2","conso","jour_pred","mois_pred","heure_pred","id_pred","tps_pred_h","tps_test"
"T53",2,"Aut2voies","2025-08-04","05:26:19","2025-08-05","07:39:00",0,NA,NA,NA,NA,NA,26.2113888888889
"T62",1,"Aut2voies","2025-08-04","05:44:31","2025-08-05","07:48:00",0,NA,NA,NA,NA,NA,26.0580555555556
"T52",2,"Secondaire","2025-08-06","19:49:55","2025-08-07","19:58:00",0,NA,NA,NA,NA,NA,24.1347222222222
"T53",2,"Aut2voies","2025-08-06","20:06:17","2025-08-07","20:08:00",1,"7","8","06:20:00","corvus_brachyrhynchos",10.2286111111111,24.0286111111111
"T62",1,"Aut2voies","2025-08-06","20:24:29","2025-08-07","20:17:00",0,NA,NA,NA,NA,NA,23.8752777777778
"T15",0,"Aut2voies","2025-08-11","05:28:25","2025-08-12","08:49:00",0,NA,NA,NA,NA,NA,27.3430555555556
"T30",1,"Aut2voies","2025-08-11","06:01:49","2025-08-12","09:25:00",0,NA,NA,NA,NA,NA,27.3863888888889
"T31",0,"Aut2voies","2025-08-11","06:33:22","2025-08-12","09:49:00",0,NA,NA,NA,NA,NA,27.2605555555556
"T09",0,"Aut2voies","2025-08-13","19:51:53","2025-08-14","21:09:00",1,"14","8","06:07:00","corvus_corax",10.2519444444444,25.2852777777778
"T31",0,"Aut2voies","2025-08-13","20:25:26","2025-08-14","21:37:00",0,NA,NA,NA,NA,NA,25.1927777777778
"T15",0,"Aut2voies","2025-08-13","20:55:03","2025-08-14","22:00:00",0,NA,NA,NA,NA,NA,25.0825
