waypoint,site,sens_obs,rang_id,classe,ordre,famille,genre,espece,etat,emplacement,taille,date,heure,revu,mortalite,commentaires
MORT-OISE,T30_N,S,classe,aves,NA,NA,NA,NA,NA,gauche,moyen,2025-08-11,08:48:10,0,1,Carcasse dans la direction opposée
MORT-OISE,T30_S,S,classe,aves,NA,NA,NA,NA,NA,accotement,petit,2025-08-11,08:42:12,0,1,
MORT-OISE,T31_E,E,classe,aves,NA,NA,NA,NA,NA,accotement,moyen,2025-08-11,06:42:43,0,1,
MORT-OISE,T31_E,E,classe,aves,NA,NA,NA,NA,NA,accotement,moyen,2025-08-11,06:43:43,0,1,
MORT-MICROMAMM,T31_E,E,classe,aves,NA,NA,NA,NA,NA,NA,petit,2025-08-11,06:45:52,0,1,Micromammifere. Sur la route. voie non indiquée. peut-être vérifiable avec les coordonnées GPS.
MORT-OISE,T31_E,E,classe,aves,NA,NA,NA,NA,NA,accotement,petit,2025-08-11,06:53:16,0,1,Tête uniquement
MORT-OISE,T31_E,E,classe,aves,NA,NA,NA,NA,NA,gauche,petit,2025-08-11,07:15:26,0,1,
MORT-OISE,T31_E,E,classe,mammalia,NA,NA,NA,NA,NA,gauche,moyen,2025-08-11,07:24:38,0,1,Micromammifere. 
MORT-GREN,T35,O,ordre,amphibia,anura,NA,NA,NA,NA,milieu,petit,2025-07-30,07:39:56,0,1,
MORT-GREN,T35,O,ordre,amphibia,anura,NA,NA,NA,NA,accotement_gauche,petit,2025-07-30,07:41:41,0,1,
MORT-LIPI,T35,O,espece,amphibia,anura,ranidae,lithobates,lithobates_pipiens,NA,accotement_gauche,petit,2025-07-30,07:42:45,0,1,
MORT-GREN,T35,O,ordre,amphibia,anura,NA,NA,NA,ecrase,accotement_gauche,petit,2025-07-30,07:44:09,0,1,
MORT-CARD,T35,O,espece,aves,passeriformes,cardinalidae,cardinalis,cardinalis_cardinalis,ecrase,accotement_gauche,petit,2025-07-30,07:45:35,0,1,
MORT-GREN,T35,O,ordre,amphibia,anura,NA,NA,NA,ecrase,accotement_gauche,petit,2025-07-30,07:47:36,0,1,
MORT,T35,O,embranchement,NA,NA,NA,NA,NA,NA,accotement_gauche,petit,2025-07-30,07:56:29,0,1,inclus des os
MORT-ÉCUR,T35,O,espece,mammalia,rodentia,sciuridae,sciurus,sciurus_carolinensis,morceaux,accotement_gauche,moyen,2025-07-30,07:59:06,0,1,
MORT-ÉCUR,T35,O,espece,mammalia,rodentia,sciuridae,sciurus,sciurus_carolinensis,NA,accotement_gauche,moyen,2025-07-30,08:01:07,0,1,
MORT-STOC,T35,O,espece,reptilia,squamata,natricidae,storeria,storeria_occipitomaculata,NA,accotement_gauche,petit,2025-07-30,08:04:23,0,1,
MORT-STOC,T35,O,espece,reptilia,squamata,natricidae,storeria,storeria_occipitomaculata,seche,accotement_gauche,petit,2025-07-30,08:06:57,0,1,
