waypoint,site,sens_obs,rang_id,classe,ordre,famille,genre,espece,etat,emplacement,taille,date,heure,revu,mortalite,commentaires
MORT-GREN,T59,O,ordre,amphibia,anura,NA,NA,NA,ecrase,gauche,petit,2025-08-13,06:34:26,0,1,
MORT-GREN,T59,O,ordre,amphibia,anura,NA,NA,NA,ecrase,gauche,petit,2025-08-13,06:36:05,0,1,
MORT-GREN,T59,O,ordre,amphibia,anura,NA,NA,NA,ecrase,gauche,petit,2025-08-13,06:37:08,0,1,
MORT-GREN,T59,O,ordre,amphibia,anura,NA,NA,NA,ecrase,gauche,petit,2025-08-13,06:38:10,0,1,
MORT-GREN,T59,O,ordre,amphibia,anura,NA,NA,NA,ecrase,gauche,petit,2025-08-13,06:39:31,0,1,
NA,T59,O,ordre,amphibia,anura,NA,NA,NA,ecrase,gauche,petit,2025-08-13,06:39:31,0,1,Le point GPS précédent englobe deux mortalité différente situées côte-à-côte.
MORT-GREN,T59,O,ordre,amphibia,anura,NA,NA,NA,NA,accotement_gauche,petit,2025-08-13,06:40:37,0,1,
MORT-GREN,T59,O,ordre,amphibia,anura,NA,NA,NA,morceaux,accotement_gauche,petit,2025-08-13,06:42:28,0,1,
MORT-LIPI,T59,O,espece,amphibia,anura,ranidae,lithobates,lithobates_pipiens,NA,accotement_gauche,petit,2025-08-13,06:44:19,0,1,
MORT-GREN,T59,O,ordre,amphibia,anura,NA,NA,NA,NA,accotement_gauche,petit,2025-08-13,06:45:18,0,1,
MORT-GREN,T59,O,ordre,amphibia,anura,NA,NA,NA,NA,accotement_gauche,petit,2025-08-13,06:46:31,0,1,
MORT-GREN,T59,O,ordre,amphibia,anura,NA,NA,NA,ecrase,gauche,petit,2025-08-13,06:47:51,0,1,
MORT-GREN,T59,O,ordre,amphibia,anura,NA,NA,NA,ecrase,gauche,petit,2025-08-13,06:49:03,0,1,
MORT-GREN,T59,O,ordre,amphibia,anura,NA,NA,NA,NA,accotement_gauche,petit,2025-08-13,06:50:02,0,1,
MORT-GREN,T59,O,ordre,amphibia,anura,NA,NA,NA,ecrase,gauche,petit,2025-08-13,06:51:19,0,1,
MORT-LIPI,T59,O,espece,amphibia,anura,ranidae,lithobates,lithobates_pipiens,ecrase,accotement_gauche,petit,2025-08-13,06:52:27,0,1,
MORT-GREN,T59,O,ordre,amphibia,anura,NA,NA,NA,ecrase,gauche,petit,2025-08-13,06:54:54,0,1,
MORT-GREN,T59,O,ordre,amphibia,anura,NA,NA,NA,ecrase,gauche,petit,2025-08-13,06:56:22,0,1,
MORT-OISE,T59,O,classe,aves,NA,NA,NA,NA,NA,gravier_gauche,moyen,2025-08-13,06:59:22,0,1,
MORT-GREN,T59,O,ordre,amphibia,anura,NA,NA,NA,NA,accotement_gauche,petit,2025-08-13,07:00:07,0,1,
MORT-MICROMAMM,T59,O,classe,mammalia,NA,NA,NA,NA,ecrase,gauche,petit,2025-08-13,07:01:48,0,1,micromammifere
MORT-MAMM,T59,O,classe,mammalia,NA,NA,NA,NA,NA,gravier_gauche,moyen,2025-08-13,07:03:27,0,1,morceaau avec entrailles ressorties
MORT-morceaux-MAMM-T61,T61_N,N,classe,mammalia,NA,NA,NA,NA,morceaux,NA,moyen,2025-07-01,08:59:24,0,1,Probablement passé dans la tondeuse
NA,T65_N,N,ordre,amphibia,anura,NA,NA,NA,NA,NA,petit,2025-07-01,06:52:31,0,1,Probablement LICL. Point Qfield
NA,T65_N,N,espece,mammalia,carnivora,procyonidae,procyon,procyon_lotor,NA,NA,moyen,2025-07-01,07:20:40,0,1,Point Qfield
