date,troncon,sens,inventaire_id,passage_num,distance,vitesse,technique,heure_debut,heure_fin,temp_air,couv_nuage,vent,initiales,nom_fichier
2025-08-11,T30_S,S,T30_S20250811gopro,2,1,75,gopro,9:26,9:27,NA,NA,NA,EM_CM,GX010210_20250811_0926_T30_A30E
2025-08-04,T52_O,E,T52_O20250804pied,2,1,1.9,pied,7:35,9:06,NA,NA,NA,EM_CM,NA
2025-08-11,T31_O,O,T31_O20250811gopro,2,1,60,gopro,7:47,7:48,NA,NA,NA,EM_CM,GX010207_20250811_0747_T31_A20O
2025-08-11,T31_E,E,T31_E20250811gopro,2,1,70,gopro,7:50,7:51,NA,NA,NA,EM_CM,GX010208_20250811_0750_T31_A20E
2025-06-10,T53_O,E,T53_O20250610pied,1,1,1.3,pied,5:20,6:06,16,100,NA,EM_CM,NA
2025-08-12,T03_E,E,T03_E20250812gopro,2,1,60,gopro,7:36,7:37,NA,NA,NA,EM_CM,GX010213_20250812_0736_T03_A40E
2025-08-12,T03_O,O,T03_O20250812gopro,2,1,60,gopro,7:40,7:41,NA,NA,NA,EM_CM,GX010214_20250812_0740_T03_A40O
2025-08-12,T09_E,E,T09_E20250812gopro,2,1,75,gopro,6:18,6:19,NA,NA,NA,EM_CM,GX010211_20250812_0618_T09_A20E
2025-08-12,T09_O,O,T09_O20250812gopro,2,1,60,gopro,6:23,6:24,NA,NA,NA,EM_CM,GX010212_20250812_0623_T09_A20O
2025-08-13,T59,O,T5920250813pied,2,2,1.4,pied,5:48,7:20,NA,NA,NA,EM_CM,NA
2025-08-12,T15_O,O,T15_O20250812gopro,2,1,60,gopro,9:05,9:06,NA,NA,NA,EM_CM,GX010215_20250812_0905_T15_A40O
2025-08-12,T15_E,E,T15_E20250812gopro,2,1,60,gopro,9:11,9:12,NA,NA,NA,EM_CM,GX010216_20250812_0911_T15_A40E
2025-07-14,T59,O,T5920250714pied,1,2,1,pied,6:00,7:45,34,70,NA,EM_CM,NA
2025-08-13,T22_E,E,T22_E20250813gopro,2,1,60,gopro,7:27,7:28,NA,NA,NA,EM_CM,GX010220_20250813_0727_T22_R158E
2025-08-13,T22_O,O,T22_O20250813gopro,2,1,60,gopro,7:36,7:37,NA,NA,NA,EM_CM,GX010221_20250813_0736_T22_R158O
2025-07-01,T61_N,N,T61_N20250701pied,1,1,1.3,pied,8:20,9:07,NA,NA,NA,EM_CM,NA
2025-08-13,T45_N,N,T45_N20250813gopro,2,1,75,gopro,9:05,9:06,NA,NA,NA,EM_CM,GX010222_20250813_0905_T45_A15N
2025-08-13,T45_S,S,T45_S20250813gopro,2,1,90,gopro,9:12,9:13,NA,NA,NA,EM_CM,GX010223_20250813_0912_T45_A15S
2025-06-09,T62_O,E,T62_O20250609pied,1,1,3,pied,8:22,8:45,NA,NA,NA,EM_CM,NA
2025-07-01,T65_N,N,T65_N20250701pied,1,1,0.8,pied,6:37,7:50,NA,NA,NA,EM_CM,NA
2025-08-13,T59,O,T5920250813gopro,2,1,60,gopro,5:42,5:43,24,75,NA,EM_CM,GX010218_20250813_0542_T59_R158O
2025-08-13,T59,E,T5920250813gopro,2,1,60,gopro,5:46,5:47,NA,NA,NA,EM_CM,GX010219_20250813_0546_T59_R158E
